Cross-Site Migration Probabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Probability of re-locating from one site to another, by life stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note:  Row Totals MUST sum to 1.  Column totals do not need to sum to 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fry,,To Site,,,,,,,,,,run-run,year-year,site-site ,within-Site,Future Target,,,,,,,,,,,,,,,,,,,
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0,0,1,0,0,0,0,0,0,0,0,,,2,S-MuddyClearPineComplex,,,7,Y-SouthYLTribs,0.85372005
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0,,,3,S-SwiftReservoir,,% of merwin,8,M-LakeMerwin,1
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0,,,4,S-ReservoirTribs,,,9,M-LMTribs,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0,,,5,Y-YaleLake,,,,,
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0,,,6,Y-NorthYLTribs,,,,,
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0,,,7,Y-SouthYLTribs,,,,,
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0,,,8,M-LakeMerwin,,,,,
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0,,,9,M-LMTribs,,,,,
Dropout %,0,To Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,255.7996876,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,303.3799211,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.396723388,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,200.9464412,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1172.765001,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,805.1351104,,,,,,,,,,,,,,,,,,,,,,,
